
===== PER-OBJECT: world matrix decomposed =====
pAozAexmhJgprgi type=EMPTY parent=xRLfDaARzGhpJRl loc_mm=(0.00,0.00,0.00) rot_deg=(90.00,-0.00,0.00) scale=(0.010,0.010,0.010)
pbUtGkaSVSEWCbb type=MESH parent=pPSzFBvbxyRnJyd loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
PkkUoNvpaBExwuc type=MESH parent=lRoKMVsbfCealtF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
pmvwSuCeZpxeLmT type=MESH parent=EHrlCLEEYhQBiQK loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
pPSzFBvbxyRnJyd type=EMPTY parent=upTUAKvMVkPOMKq loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
pweTZuphtbJXJdM type=MESH parent=xUSWCKliopnKdBb loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
PXwNjghIIgDPXsa type=MESH parent=KwknaiWiXLGNYdF loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
pYcHgppzzKEphCf type=MESH parent=lRoKMVsbfCealtF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
qyiwePzfWzVHIDO type=MESH parent=EHrlCLEEYhQBiQK loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
RfedWPXoFcsOTjI type=MESH parent=xUSWCKliopnKdBb loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
rqynQLtWLECDNtb type=MESH parent=FyWFSAioEIdKumD loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
RsMYVEApMypWrpd type=MESH parent=FyWFSAioEIdKumD loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
rTXqhGdxSahVgNw type=EMPTY parent=xBrLNRikmrHehEX loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
RwQzmCvUWHGlFfV type=MESH parent=exPlQoAHuiCYXFo loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
SCDZMtVjLrcxENj type=MESH parent=SiftyleUEEZwLhF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
SiftyleUEEZwLhF type=EMPTY parent=AKVZtTmuRolfwyf loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
svvOILdVxasRAOk type=MESH parent=KwknaiWiXLGNYdF loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
SxeyDDoPvaCZQxB type=MESH parent=YpWPjdyVXeCQnCk loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
tgAwAdzrbYmlxSK type=EMPTY parent=SiftyleUEEZwLhF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
TjnQASEQBIHreGe type=MESH parent=YpWPjdyVXeCQnCk loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
tkSBzAjLTdhANqx type=MESH parent=bjlUhVsGutUqoZH loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
tLtsGCMtMAZfCYN type=MESH parent=xBrLNRikmrHehEX loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
tnxsltexVWtEjsz type=MESH parent=xTelJGdtyasCWdl loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
tYVfzVmYBKhfUhm type=MESH parent=xTelJGdtyasCWdl loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
UPeNpLgJbcWzHun type=MESH parent=rTXqhGdxSahVgNw loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
